Nom du site	Categorie	Adresse 1	Adresse 2	Code Postal	Ville	Numero de telephone	Email	URL	Longitude	Latitude
Archives Municipales	Autres lieux de culture	10 rue Clovis Hugues		13003	Marseille	04 91 55 33 75		http://archives.marseille.fr	5.38761998401501	43.3085122376985
L'Ecole Superieure d'Art et de Design Marseille-Mediterranee	Autres lieux de culture	184 avenue de Luminy	case 912	13009	Marseille	04 91 82 83 10		http://culture.marseille.fr/enseignement/ecole-sup%C3%A9rieure-dart-et-de-design	5.43653697994331	43.2288388194373
Ecole nationale superieure de danse de Marseille	Autres lieux de culture	20 boulevard de Gabes		13008	Marseille	04 91 32 72 72		http://Ensdm.marseille.fr	5.38350168265648	43.2649830549375
Conservatoire national de region	Autres lieux de culture	Place Carli		13001	Marseille	04 91 55 35 74		http://Conservatoire-national-de-region.marseille.fr	5.38307301225626	43.2957006688621
Espace culture	Autres lieux de culture	42, La Canebiere		13001	Marseille	04 96 11 04 60		http://www.espaceculture.net/	5.37816524543312	43.2964367302696
Observatoire de Marseille	Autres lieux de culture	2, place LeVerrier		13004	Marseille	04 95 04 41 26		http://culture.marseille.fr/patrimoine-culturel/observatoire-de-marseille	5.39342522454639	43.3057608162919
Friche de la Belle de Mai	Autres lieux de culture	41, rue Jobin		13003	Marseille	04 95 04 95 04		http://Friche-de-la-belle-de-mai.marseille.fr	5.39029799248336	43.3097547935523
Cite des arts de la rue	Autres lieux de culture	225 avenue des Aygalades		13015	Marseille			http://Cite-des-arts-de-la-rue.marseille.fr	5.36618311840202	43.3474255274389
Atelier du Patrimoine	Autres lieux de culture	10 ter, square Belsunce		13001	Marseille	04 91 90 78 74			5.37639898333874	43.2978444939668
Maison des cinematographies de la mediterranee	Autres lieux de culture	Traverse de la Buzine		13011	Marseille			http://Buzine.marseille.fr	5.50245402391495	43.2953644742687
Klap Maison pour la Danse	Autres lieux de culture	5 avenue Rostand		13003	Marseille	04 96 11 11 20		http://www.kelemenis.fr/	5.37772956823579	43.3119591142001
Cite de la Musique	Autres lieux de culture	4 , Rue Bernard du Bois		13001	Marseille	04 91 39 28 28	contact@citemusique-marseille.com	http://www.citemusique-marseille.com/	5.37528223787718	43.3016126490531
Bibliotheque de la Grognarde	Bibliotheques	2 square Berthier		13011	Marseille	04 91 89 57 04		http://bibliotheques.marseille.fr	5.43393359688718	43.294254090464
Biblioteque des cinq-avenues	Bibliotheques	2, avenue Marechal Foch		13004	Marseille	04 91 49 42 36		http://bibliotheques.marseille.fr	5.39664704558906	43.3024217145399
Bibliotheque du Panier	Bibliotheques	Place du Refuge		13002	Marseille	04 91 91 20 50		http://bibliotheques.marseille.fr	5.36693922324066	43.2979610574298
Bibliotheque de Bonneveine	Bibliotheques	Centre vie de Bonneveine		13008	Marseille	04 91 25 10 10		http://bibliotheques.marseille.fr	5.38817310387756	43.248949618492
Bibliotheque du Merlan	Bibliotheques	Avenue Raimu		13014	Marseille	04 91 12 93 60		http://bibliotheques.marseille.fr	5.39880429748832	43.3309707007976
Bibliotheque de Saint Andre	Bibliotheques	6 Boulevard Jean Salducci		13016	Marseille	04 91 03 72 72		http://bibliotheques.marseille.fr	5.3425713208347	43.3573277542971
Bibliotheque de Castellane	Bibliotheques	Place de Castellane – Metro		13006	Marseille	04 91 42 92 09		http://bibliotheques.marseille.fr	5.38417823939124	43.2855438490645
Bibliotheque L'Alcazar	Bibliotheques	58 cours Belsunce		13001	Marseille	04 91 55 90 00	accueil-bmvr@mairie-marseille.fr	http://bibliotheques.marseille.fr	5.37659100529593	43.2989287782018
Cinema le Chambord	Cinemas	283 avenue du Prado		13008	Marseille	04 91 25 71 11			5.39138648003393	43.2732727149894
Cinema les Varietes	Cinemas	37 rue Vincent Scotto		13001	Marseille				5.37978195115481	43.2975574926332
Cinema des 3 Palmes	Cinemas	2 rue leon Bancal		13011	Marseille	08 36 68 20 15			5.48047725796589	43.2890865832391
Cinema Pathe Madeleine	Cinemas	Avenue du Marechal Foch		13004	Marseille	08 36 68 20 22			5.39974863163256	43.3002696220939
Cinema du Prado	Cinemas	36 avenue du Prado		13006	Marseille	04 91 37 67 13			5.3844527307859	43.2838289688399
Alhambra	Cinemas	Place Raphael		13016	Marseille				5.33098539384092	43.361083596049
Cinema Le Cesar	Cinemas	4 place Castellane		13006	Marseille	04 91 37 12 80			5.38318920621481	43.2861757071242
Cinema Bonneveine	Cinemas	Avenue de Hambourg		13008	Marseille	08 36 68 20 15			5.39032533912712	43.2487314612722
Le Dome	Le Dome	48 avenue de Saint Just		13004	Marseille			http://Dome.marseille.fr	5.40366345580585	43.3152107086434
Musee des Docks Romains	Musees	Place Vivaux		13002	Marseille	04 91 55 36 00		http://musee-des-docks-romains.marseille.fr	5.36799754204733	43.2968007722863
Musee Cantini	Musees	19 rue Grignan		13006	Marseille	04 91 54 77 75	dgac-musee-cantini@mairie-marseille.fr	http://musee-cantini.marseille.fr	5.37811037625864	43.2923051144104
Musee des Beaux Arts	Musees	Palais Longchamp		13004	Marseille	04 91 14 59 30		http://musee-des-beaux-arts.marseille.fr	5.39405322053094	43.3045281352789
Musee Grobet-Labadie	Musees	Boulevard Longchamp		13001	Marseille	04 91 62 21 82	musee-grobet-labadie@mairie-marseille.fr	http://musee-grobet-labadie.marseille.fr	5.39277839222866	43.3034243316482
Museum d'Histoire Naturelle	Musees	Boulevard Longchamp		13004	Marseille	04 91 14 59 50		http://Museum.marseille.fr	5.39472094477275	43.3038344643591
Musee d'Art Contemporain	Musees	69 avenue d'Haifa		13008	Marseille	04 91 25 01 07	dgac-mac@mairie-marseille.fr	http://Mac.marseille.fr	5.38952256097882	43.2503647700183
Musee de la Moto	Musees	18 traverse Saint Paul		13013	Marseille	04 91 02 29 55	fsassu@mairie-marseille.fr	http://musee-de-la-moto.marseille.fr	5.40395586660939	43.3281914926401
Musee de la Marine et de l'Economie	Musees	9 La Canebiere		13001	Marseille	04 91 39 33 33	patrimoine@marseille-provence.cci.fr		5.37542517686928	43.2958401698064
Musee des Arts et Traditions Populaires	Musees	5 Place des Heros		13013	Marseille	04 91 68 14 38	museechateaugombert@free.fr		5.43980100591897	43.3522480921161
Musee d'Histoire de Marseille	Musees	2, rue Henri-Barbusse		13001	Marseille	04 91 55 36 00	musee-histoire@mairie-marseille.fr	http://musee-histoire-de-marseille.marseille.fr	5.37586400607654	43.2975076376328
Preau des Accoules	Musees	29 montee des Accoules		13002	Marseille	04 91 91 52 06		http://preau-des-accoules.marseille.fr	5.36664763877254	43.2976657463279
Memorial des camps de la Mort	Musees	Quai Louis Brauquier		13002	Marseille				5.36246440483492	43.2955449761054
Musee d'Archeologie Mediterraneenne	Musees	2 rue de la Charite		13002	Marseille	04 91 14 58 59	dgac-museearcheologie@mairie-marseille.fr	http://Musee-archeologie-mediterraneenne.marseille.fr	5.36746510417336	43.3004270157031
Musee du Santon	Musees	49 rue Neuve Sainte Catherine		13007	Marseille	04 91 13 61 36	infomc@santonsmarcelcarbonel.com		5.36709075092745	43.2914870088262
Musee d'Arts Africains, Oceaniens et Amerindiens	Musees	2 rue de la Charite		13002	Marseille	04 91 14 58 38	dgac-maaoa@mairie-marseille.fr	http://Maaoa.marseille.fr	5.36824463317607	43.3004781071273
Archives Municipales	Autres lieux de culture	10 rue Clovis Hugues		13003	Marseille	04 91 55 33 75		http://archives.marseille.fr	5.38761998401501	43.3085122376985
